ired red
0088 0000
0068 0010
0090 0010
0078 0010
0090 0000
0078 0028
0080 0010
0078 0008
0070 0008
0070 0010
0088 0008
0060 0000
0098 0008
0078 0020
0080 0008
0078 0010
0088 0008
0060 0000
0088 0030
0080 0028
0080 0010
0060 0018
0078 0020
0078 0000
0088 0020
0078 0008
0060 0018
0080 0000
0090 0000
0070 0008
0070 0010
0060 0010
0060 0018
0060 0010
0080 0018
0078 0010
0068 0010
0080 0020
0068 0000
0070 0020
0078 0010
0088 0010
0078 0010
0060 0000
0068 0028
0080 0020
0078 0020
0088 0008
0098 0008
0078 0010
0068 0008
0090 0010
0078 0010
0078 0010
0078 0020
0070 0028
0078 0028
0080 0018
0080 0020
0088 0040
0090 00b0
00a8 01a0
0110 0328
01e0 0530
0328 0718
0480 0850
0560 08c0
0640 08e0
0728 0960
08a0 0b18
0b18 0ec0
0e98 13f0
1238 19a8
1630 2010
1a20 2598
1b48 2720
1b30 27d0
1ed0 2cf0
2620 34d0
2cb8 39d8
2ee8 3ae8
30f8 3b58
3268 36c8
3190 3070
2fb0 2c50
2eb0 2b20
2fa8 2bb8
31b0 2ce8
3408 2dd0
3620 2ee8
3808 2fb0
39f0 3070
3ad0 30b0
3a50 3048
39a0 2ff0
39d8 3028
3ac0 3050
3b98 30a8
3b90 30a8
3b88 30b8
3be0 30d8
3c38 30c8
3c48 30e8
3ca0 3118
3d30 3138
3d70 3188
3dc8 3178
3de0 3178
3df8 3180
3df8 3168
3dc0 3170
3d88 3178
3d48 3168
3cf8 3148
3cd0 3100
3cb8 30f0
3c98 3108
3c88 30f0
3c60 30c8
3c40 30a8
3c88 30b0
3d00 30e0
3d00 3108
3d28 3100
3d40 30d8
3d18 30d8
3ce8 30c0
3cc0 3098
3c88 3080
3c68 3080
3c48 3048
3c28 3038
3c00 3010
3c10 2ff0
3bc0 2fe0
3ba8 2fd0
3b98 2fc0
3bb0 2fa8
3b70 2f90
3b68 2f80
3b58 2f70
3b80 2f98
3b60 2f78
3b60 2f98
3b60 2fa8
3b50 2f88
3b88 2f98
3b70 2f98
3b60 2f80
3b78 2fa0
3b80 2fb0
3b98 2fa8
3b98 2f88
3bc0 2f78
3bc0 2f90
3bc0 2f88
3bd8 2fa0
3be0 2fa8
3bd8 2f80
3be8 2fa8
3bf8 2f68
3bd8 2f90
3bd8 2f88
3bc8 2f68
3b98 2f68
3b70 2f40
3b30 2f18
3b08 2f08
3af0 2ef0
3ac8 2ed0
3aa8 2ed8
3ac8 2ed8
3ab8 2ee0
3ac0 2ed8
3ac8 2ee0
3ad8 2ee0
3ad0 2ec8
3af0 2ed8
3ae0 2ec8
3b10 2ed0
3af8 2ed0
3b10 2ee8
3af8 2ed8
3ae0 2ed8
3ad8 2ed0
3ae0 2ec0
3ad0 2ed0
3af8 2ec8
3b08 2ed0
3af0 2ec8
3b28 2ed8
3b08 2ee0
3b08 2ed8
3b10 2ed0
3b20 2ef8
3b38 2ee0
3b18 2ed8
3b30 2ed0
3b50 2ee8
3b58 2ee8
3b70 2ed8
3b58 2ed0
3b58 2eb8
3b48 2ec8
3b50 2eb8
3b50 2ec8
3b70 2ed0
3b50 2eb0
3b60 2ec8
3b68 2ec8
3b38 2ea0
3b28 2e88
3b10 2e90
3ae0 2e58
3aa8 2e48
3a68 2e50
3a88 2e50
3a68 2e30
3a50 2e30
3a90 2e38
3a68 2e38
3a80 2e30
3a68 2e28
3a88 2e40
3ab0 2e30
3a98 2e20
3aa8 2e28
3a98 2e20
3ab8 2e28
3a98 2e08
3a78 2e20
3aa0 2e08
3aa0 2df8
3ab0 2e10
3ab8 2e00
3a80 2df0
3ac8 2df0
3aa0 2e08
3ac0 2e08
3ab8 2de8
3ab8 2e00
3ac0 2df0
3ad0 2de0
3ad0 2e00
3ad0 2e00
3ae0 2df8
3ae8 2e10
3ae8 2e08
3b00 2e08
3ae8 2e00
3b10 2e10
3af0 2e08
3b00 2de8
3b08 2df8
3b08 2e10
3b10 2df8
3af0 2df0
3ae8 2dd0
3ad0 2dc8
3a90 2db0
3a70 2da0
3a78 2db0
3a98 2da0
3a70 2db8
3a68 2db0
3a88 2db8
3aa0 2da0
3ab0 2db0
3a88 2dc0
3aa8 2dc8
3ac0 2db0
3ab8 2da8
3ab0 2d98
3ab8 2dc0
3ac0 2dc8
3ab0 2db0
3a90 2d98
3aa0 2db0
3a90 2db8
3a60 2d98
3a78 2da0
3a60 2da8
3a70 2dc0
3a78 2db8
3a80 2da8
3aa0 2db8
3ab0 2df8
3af8 2df8
3b20 2e38
3b60 2e40
3bb0 2e58
3c00 2ea8
3c70 2ee8
3cf0 2f90
3de0 3020
3ef0 3198
3f98 3238
4008 3278
4040 3280
4098 3298
4068 3278
4010 3238
3fe0 3200
3f78 31a8
3f30 3158
3ee0 3128
3ee8 3118
3ed8 30f0
3f08 30e8
3f38 30e0
3f30 30c8
3f28 30c0
3f28 30b0
3f20 3098
3f10 3078
3f10 3088
3ef8 3068
3ef8 3060
3ed0 3048
3eb0 3030
3eb8 3040
3ea0 3010
3ea8 3018
3e90 3000
3e90 2ff0
3e98 3008
3ea0 2ff0
3e88 2fe8
3e90 2fe8
3e88 2fc8
3eb0 2fb8
3e80 2fe8
3ea0 2fd0
3ea8 2fb0
3e80 2fb0
3e88 2f98
3e88 2fd8
3e98 2fc0
3e98 2f98
